CGPRT20,0.28,0.03,0
CGPRT21,0.31,0.02,0
CGPRT23,0.31,0.1,0
CGPRT25,0.32,0.07,0
CGPTG03,0.38,0.06,0
CGPTG05,0.27,0.17,0
CGPTG08,0.62,0.1,0
CGPTG11,0.35,0.02,0
CGPTG14,0.52,0.16,0
CGPTG20,0.48,0.05,0
CGPTG23,0.61,0.03,0
CGPTG24,0.50,0.22,0
CGPTG27,0.40,0.18,0
CGPTL07,0.16,0.04,0
CGPTL14,0.43,0.31,0
CGPTL17,0.48,0.03,0
CGPTL19,0.48,0.3,0
CGPTL20,0.18,0.09,0
CGPTL22,0.10,0.05,0
CGPTL24,0.41,0.12,0
CGSKD01,0.47,0.15,0
CGSKD04,0.51,0.1,0
CGSKD06,0.36,0.11,0
CMCDG29,0.49,0.02,0
DHADB08,0.28,0.14,0
DHADB09,0.26,0.15,0
DHADB10,0.43,0.17,0
DHAPT02,0.57,0.05,0
DHAPT03,0.54,0.1,0
DHBDD04,0.44,0.06,0
DHBDD05,0.43,0.27,0
DHBDD09,0.45,0.06,0
DHBDD10,0.45,0.15,0
DHBDD12,0.51,0.23,0
DHBDD20,0.40,0.05,0
DHBDD22,0.39,0.19,0
DHBDD24,0.41,0.26,0
DHBDD26,0.44,0.16,0
DHBDD47,0.45,0.2,0
DHCNT03,0.44,0.23,0
DHDEM03,0.45,0.02,0
DHDEM04,0.50,0.08,0
DHDEM10,0.41,0.15,0
DHDEM11,0.44,0.04,0
DHDHM05,0.68,0.03,0
DHDHM10,0.68,0.03,0
DHDHN24,0.17,0.28,0
DHDHN39,0.31,0.29,0
DHDHN40,0.19,0.05,0
DHDHN46,0.29,0.06,0
DHDHR01,1.55,0.04,0
DHDHR03,1.49,0.09,0
DHDHR07,1.42,0.15,0
DHDHR08,1.49,0.11,0
DHDHR10,1.43,0.1,0
DHDKK01,0.51,0.03,0
DHDKK03,0.53,0.09,0
DHDKK04,0.57,0.22,0
DHDKK06,0.54,0.05,0
DHDKK07,0.51,0.08,0
DHDKK08,0.54,0.02,0
DHDKK11,0.62,0.03,0
DHDKK15,0.49,0.05,0
DHGUL07,0.39,0.1,0
DHGUL39,0.38,0.11,0
DHGUL42,0.36,0.06,0
DHGUL46,0.41,0.16,0
DHGUL67,0.38,0.16,0
DHHZR02,0.26,0.03,0
DHHZR05,0.33,0.05,0
DHHZR06,0.19,0.03,0
DHHZR07,0.41,0.29,0
DHHZR08,0.33,0.07,0
DHJTB04,0.43,0.17,0
DHJTB06,0.46,0.02,0
DHJTB08,0.39,0.06,0
DHJTB09,0.32,0.21,0
DHJTB10,0.36,0.36,0
DHJTB12,0.42,0.22,0
DHJTB13,0.39,0.2,0
DHJTB15,0.41,0.03,0
DHJTB17,0.38,0.03,0
DHJTB18,0.39,0.07,0
DHJTB19,0.36,0.11,0
DHJTB20,0.43,0.27,0
DHJTB22,0.60,0.03,0
DHJTB23,0.52,0.16,0
DHJTB24,0.36,0.16,0
DHJTB25,0.34,0.12,0
DHJTB26,0.45,0.04,0
DHJTB27,0.42,0.18,0
DHJTB28,0.39,0.04,0
DHJTB29,0.34,0.19,0
DHJTB30,0.39,0.04,0
DHJTB31,0.38,0.02,0
DHKCH02,1.04,0.07,0
DHKCH03,1.05,0.22,0
DHKCH06,1.01,0.08,0
DHKCH07,1.06,0.06,0
DHKCH08,1.08,0.03,0
DHKFR05,0.42,0.26,0
DHKFR06,0.25,0.04,0
DHKFR14,0.48,0.03,0
DHKFR15,0.41,0.04,0
DHKFR18,0.44,0.04,0
DHKFR19,0.30,0.17,0
DHKFR20,0.39,0.15,0
DHKGN04,0.86,0.09,0
DHKGN05,0.95,0.1,0
DHKGN06,0.93,0.24,0
DHKGN10,1.03,0.12,0
DHKGN11,0.89,0.05,0
DHKGN12,1.03,0.11,0
DHKGN16,1.24,0.12,0
DHKGN18,1.45,0.04,0
DHKGN23,0.94,0.37,0
DHKGN24,0.86,0.03,0
DHKGN27,1.24,0.15,0
DHKGN31,1.16,0.08,0
DHKGN33,0.86,0.04,0
DHKGN39,0.89,0.03,0
DHKGN40,1.26,0.08,0
DHKGN43,0.94,0.18,0
DHKHL07,0.50,0.19,0
DHKHL11,0.46,0.05,0
DHKHL15,0.46,0.44,0
DHKHL16,0.49,0.14,0
DHKHL17,0.43,0.06,0
DHKHL18,0.41,0.02,0
DHKHL23,0.50,0.02,0
DHKHL27,0.44,0.16,0
DHKHL32,0.51,0.12,0
DHKHL35,0.41,0.07,0
DHKHL40,0.55,0.18,0
DHKHLS0,0.51,0.06,0
DHKKT04,42950.21,0.32,0
DHKKT05,0.56,0.13,0
DHKKT06,0.61,0.19,0
DHKKT07,0.63,0.09,0
DHKKT13,0.62,0.03,0
DHKKT19,0.57,0.04,0
DHKTL02,0.43,0.22,0
DHKTL09,0.31,0.49,0
DHKTL10,0.29,0.04,0
DHKTL11,0.26,0.33,0
DHKTL14,0.39,0.17,0
DHKTL15,0.41,0.03,0
DHKTL16,0.32,0.03,0
DHKTL17,0.27,0.2,0
